rating_position,school_name,okrug,district,address,top_50,location
268,Школа № 1286,Северо-Западный,Северное Тушино,Россия. город Москва. улица Героев Панфиловцев. дом 15,F,POINT(37.42689 55.85713)
269,Школа № 1155,Северо-Западный,Строгино,Россия. город Москва. улица Твардовского. дом 13. корп. 2,F,POINT(37.39802 55.79622)
270,Школа № 1302,Северо-Западный,Строгино,Россия. город Москва. улица Исаковского. дом 29. корп. 1,F,POINT(37.41896 55.80693)
271,Школа № 1519,Северо-Западный,Строгино,Россия. город Москва. улица Маршала Катукова. дом 21. корп. 2,F,POINT(37.41240 55.80760)
272,Школа № 1560 «Лидер»,Северо-Западный,"Хорошево 
Мневники",Россия. город Москва. улица Маршала Тухачевского. дом 17. корп. 3,F,POINT(37.48390 55.78036)
273,Школа № 1212 Щукино,Северо-Западный,Щукино,Россия. город Москва. улица Маршала Рыбалко. дом 14,F,POINT(37.48823 55.80130)
274,Школа № 2073,Троицкий,Вороново,Россия. город Москва. поселение Вороновское. п. ЛМС. мкр. Центральный. дом 34. стр. 3,F,POINT(37.58618 55.72293)
275,Гимназия имени Н.В. Пушкова,Троицкий,Троицк,Россия. город Москва. город Троицк. Школьная улица. дом 10,F,POINT(37.30067 55.47541)
276,Лицей города Троицка,Троицкий,Троицк,Россия. город Москва. город Троицк. Школьная улица. дом 10А,F,POINT(37.30080 55.47544)
277,Школа № 1392 имени Д.В. Рябинкина,Троицкий,Троицк,Россия. город Москва. поселение Десёновское. 3-я Нововатутинская улица. дом 13. корп. 3,F,POINT(37.34385 55.51800)
278,Школа № 1231 имени В.Д. Поленова,Центральный,Арбат,Россия. город Москва. Спасопесковский переулок. дом 6. строение 7,F,POINT(37.58882 55.74982)
279,Школа № 315,Центральный,Красносельский,Россия. город Москва. Русаковская улица. дом 10. строение 1,F,POINT(37.67457 55.78261)
280,Школа № 1270 «Вектор»,Центральный,Таганский,Россия. город Москва. Товарищеский переулок. дом 21,F,POINT(37.66480 55.74394)
281,Школа № 1905,Юго-Восточный,Выхино-Жулебино,Россия. город Москва. улица Маршала Полубоярова. дом 22,F,POINT(37.86026 55.68261)
282,Школа № 2010 имени М.П. Судакова,Юго-Восточный,Люблино,Россия. город Москва. Белореченская улица. дом 8,F,POINT(37.76422 55.67251)
283,Школа № 2121 имени С.К. Куркоткина,Юго-Восточный,Люблино,Россия. город Москва. Спортивный проезд. дом 3А,F,POINT(37.75388 55.68433)
284,Школа № 2089,Юго-Восточный,Некрасовка,Россия. город Москва. 1-я Вольская улица. дом 22. корп. 2,F,POINT(37.92651 55.68320)
285,Школа № 1222 имени И.Х. Баграмяна,Юго-Восточный,Нижегородский,Россия. город Москва. Нижегородская улица. дом 67,F,POINT(37.72003 55.73236)
286,Школа имени И.С. Полбина,Юго-Восточный,Печатники,Россия. город Москва. улица Полбина. дом 44,F,POINT(37.72700 55.68026)
287,Школа № 2115,Юго-Западный,Черемушки,Россия. город Москва. Новочерёмушкинская улица. дом 56. корп. 2,F,POINT(37.56381 55.66936)
288,Газпром школа (ОЧУ),Юго-Западный,Черемушки,Россия. город Москва. Новочерёмушкинская улица. дом 66,F,POINT(37.55875 55.66291)
289,Школа № 1368,Юго-Западный,Южное Бутово,Россия. город Москва. улица Академика Понтрягина. дом 17. корп. 1,F,POINT(37.50144 55.53363)
290,Школа № 1786,Юго-Западный,Южное Бутово,Россия. город Москва. улица Адмирала Лазарева. дом 77,F,POINT(37.49576 55.53455)
291,Школа № 1206,Юго-Западный,Ясенево,Россия. город Москва. Литовский бульвар. дом 3. корпус 3,F,POINT(37.53339 55.61518)
292,Школа № 1561,Юго-Западный,Ясенево,Россия. город Москва. улица Паустовского. дом 6. корпус 2,F,POINT(37.53882 55.60032)
293,Школа № 2103,Юго-Западный,Ясенево,Россия. город Москва. улица Голубинская. дом 5. корпус 3,F,POINT(37.51725 55.60568)
294,Школа № 667 имени К.Я. Самсонова,Южный,Бирюлево Западное,Россия. город Москва. Востряковский проезд. дом 13А. строение 1,F,POINT(37.64518 55.57787)
295,Школа № 1998 «Лукоморье»,Южный,Братеево,Россия. город Москва. улица Борисовские Пруды. дом 12. корпус 3,F,POINT(37.74252 55.63457)
296,Школа № 463 имени Д.Н. Медведева,Южный,Нагатинский затон,Россия. город Москва. Судостроительная улица. дом 10. корпус 1,F,POINT(37.67191 55.67926)
297,Школа № 1862,Южный,Нагорный,Россия. город Москва. Черноморский бульвар. дом 6. строение 1,F,POINT(37.61368 55.64614)
298,Школа № 904,Южный,Царицыно,Россия. город Москва. Кавказский бульвар. дом 16. корпус 2,F,POINT(37.66550 55.63357)
299,Школа № 1245,Южный,Чертаново Южное,Россия. город Москва. Кировоградская улица. дом 42. корпус 2,F,POINT(37.59333 55.59998)
300,Школа № 924,Южный,Чертаново Южное,Россия. город Москва. улица Газопровод. дом 5А,F,POINT(37.60436 55.59070)
301,Школа № 1360,Восточный,Богородское,Россия. город Москва. Краснобогатырская улица. дом 21А,F,POINT(37.70182 55.81284)
302,Школа № 734 имени А.Н. Тубельского,Восточный,"Восточное 
Измайлово",Россия. город Москва. Сиреневый бульвар. дом 58А,F,POINT(37.82415 55.80126)
303,Школа № 1598,Восточный,Гольяново,Россия. город Москва. Камчатская улица. дом 6,F,POINT(37.81395 55.82783)
304,Школа № 368 «Лосиный остров»,Восточный,Гольяново,Россия. город Москва. Уссурийская улица. дом 12,F,POINT(37.81788 55.82218)
305,Школа № 1798 «Феникс»,Восточный,Новогиреево,Россия. город Москва. Зелёный проспект. дом 75. строение 3,F,POINT(37.81410 55.75259)
306,Школа № 1591,Восточный,Новокосино,Россия. город Москва. Новокосинская улица. дом 40А,F,POINT(37.87310 55.74087)
307,Московская международная школа,Восточный,Перово,Россия. город Москва. 3-я Владимирская улица. дом 5,F,POINT(37.78675 55.76225)
308,Школа № 1637,Восточный,Перово,Россия. город Москва. 3-я Владимирская улица. дом 12А,F,POINT(37.78361 55.75950)
309,Школа № 2126 «Перово»,Восточный,Перово,Россия. город Москва. улица Плющева. дом 11А,F,POINT(37.76269 55.74263)
310,Школа № 920,Восточный,Перово,Россия. город Москва. Перовская улица. дом 24,F,POINT(37.76988 55.74606)
311,Школа № 2200,Восточный,"Северное 
Измайлово",Россия. город Москва. 5-я Парковая улица. дом 58Б,F,POINT(37.79052 55.80485)
312,Школа-интернат № 30 им. К.А. Микаэльяна,Восточный,Сокольники,Россия. город Москва. улица Олений Вал. дом 22,F,POINT(37.69352 55.80021)
313,Школа № 56 имени академика В.А. Легасова,Западный,Дорогомилово,Россия. город Москва. Кутузовский проспект. дом 22. корп. 1,F,POINT(37.54929 55.74603)
314,Школа № 64,Западный,Кунцево,Россия. город Москва. Партизанская улица. дом 30. корп. 2,F,POINT(37.41413 55.73638)
315,Школа № 806,Западный,Кунцево,Россия. город Москва. Полоцкая улица. дом 21,F,POINT(37.42349 55.73269)
316,Западный комплекс непрерывного образования,Западный,Можайский,Россия. город Москва. Гвардейская улица. дом 15. корп. 2,F,POINT(37.42197 55.72480)
317,Международная гимназия «Сколково»,Западный,Можайский,Россия. город Москва. улица Зворыкина. дом 4,F,POINT(37.35065 55.69343)
318,Школа № 14,Западный,"Тропарёво 
Никулино",Россия. город Москва. улица Академика Анохина. дом 32,F,POINT(37.46576 55.66220)
319,Школа № 875,Западный,"Тропарёво 
Никулино",Россия. город Москва. проспект Вернадского. дом 101. корп. 5,F,POINT(37.49140 55.66438)
320,Школа № 1248,Западный,Фили-Давыдково,Россия. город Москва. Давыдковская улица. дом 2. корп. 6,F,POINT(37.47366 55.72542)
321,Школа № 97,Западный,Фили-Давыдково,Россия. город Москва. Кременчугская улица. дом 46,F,POINT(37.45615 55.71217)
322,Школа № 1788,Новомосковский,Внуково,Россия. город Москва. улица Авиаконструктора Петлякова. дом 17,F,POINT(37.30991 55.62187)
323,Школа № 338 им. Героя Сов. Союза А.Ф. Авдеева,Новомосковский,Коммунарка,Россия. город Москва. поселок Коммунарка. ул. Александры Монаховой. дом 94А,F,POINT(37.49156 55.55608)
324,Школа № 2120,Новомосковский,Филимонковский,Россия. город Москва. город Московский. улица Атласова. дом 7. корп. 3,F,POINT(37.35601 55.60300)
325,Школа № 2122 им. Героя Сов. Союза О.А. Юрасова,Новомосковский,Щербинка,Россия. город Москва. город Щербинка. улица Авиаторов. дом 9,F,POINT(37.53150 55.51489)
326,Школа № 1550,Северный,Беговой,Россия. город Москва. Беговая улица. дом 19,F,POINT(37.55980 55.78247)
327,Школа имени Героя РФ Е.Н. Чернышёва,Северный,Бескудниковский,Россия. город Москва. Бескудниковский проезд. дом 4Б,F,POINT(37.55557 55.87518)
328,Школа № 1383,Северный,Бескудниковский,Россия. город Москва. Дубнинская улица. дом 7,F,POINT(37.56641 55.85783)
329,Школа № 656 имени А.С. Макаренко,Северный,Бескудниковский,Россия. город Москва. Бескудниковский переулок. дом 4А,F,POINT(37.55694 55.86297)
330,Школа № 1250,Северный,Войковский,Россия. город Москва. Ленинградское шоссе. дом 27,F,POINT(37.48475 55.82955)
331,Школа № 1296,Северный,"Восточное 
Дегунино",Россия. город Москва. Керамический проезд. дом 55. корп. 3,F,POINT(37.56285 55.87782)
332,Школа № 1794 имени А.С. Чуфистова,Северный,"Восточное 
Дегунино",Россия. город Москва. Дубнинская улица. дом 34,F,POINT(37.55877 55.88476)
333,Школа № 1159,Северный,Головинский,Россия. город Москва. Солнечногорская улица. дом 7,F,POINT(37.51578 55.85861)
334,Школа № 236 имени Г.И. Щедрина,Северный,Дмитровский,Россия. город Москва. Коровинское шоссе. дом 24А,F,POINT(37.52184 55.88216)
335,Школа № 1125 имени Я.Н. Федоренко,Северный,Западное Дегунино,Россия. город Москва. Бусиновская горка. дом 7. корп. 1,F,POINT(37.49178 55.88297)
336,Школа № 1164,Северный,Савеловский,Россия. город Москва. Писцовая улица. дом 14А,F,POINT(37.57381 55.79816)
337,Школа № 1601 имени Е.К. Лютикова,Северный,Савеловский,Россия. город Москва. улица Нижняя Масловка. дом 16,F,POINT(37.57357 55.79245)
338,Школа № 1249,Северный,Сокол,Россия. город Москва. Чапаевский переулок. дом 6. стр. 2,F,POINT(37.51844 55.80125)
339,Центр «Предуниверсарий МАИ»,Северный,Сокол,Россия. город Москва. улица Панфилова. дом 20. стр. 1,F,POINT(37.49318 55.80699)
340,Школа № 1503,Северо-Восточный,Алексеевский,Россия. город Москва. улица Павла Корчагина. дом 18,F,POINT(37.66233 55.81836)
341,Школа № 1095,Северо-Восточный,Бабушкинский,Россия. город Москва. Менжинского улица. дом 7,F,POINT(37.67469 55.86770)
342,Школа № 281,Северо-Восточный,Бабушкинский,Россия. город Москва. улица Коминтерна. дом 4. корп. 1,F,POINT(37.67543 55.86102)
343,Школа № 1412,Северо-Восточный,Бибирево,Россия. город Москва. Мусоргского улица. дом 11Г,F,POINT(37.62227 55.86553)
344,Школа № 1413,Северо-Восточный,Бибирево,Россия. город Москва. Белозерская улица. дом 7,F,POINT(37.61168 55.89864)
345,Школа № 1236 имени С.В. Милашенкова,Северо-Восточный,Бутырский,Россия. город Москва. улица Милашенкова. дом 10Б,F,POINT(37.58363 55.82692)
346,Школа № 1416 «Лианозово»,Северо-Восточный,Лианозово,Россия. город Москва. Новгородская улица. дом 12,F,POINT(37.58165 55.89549)
347,Школа № 1381,Северо-Восточный,Лосиноостровский,Россия. город Москва. улица Коминтерна. дом 52,F,POINT(37.69634 55.87386)
348,Школа № 1494,Северо-Восточный,Марфино,Россия. город Москва. Большая Марфинская улица. дом 1. корп. 5,F,POINT(37.59195 55.82775)
349,Школа № 1531 имени С.К. Годовикова,Северо-Восточный,Останкинский,Россия. город Москва. улица Годовикова. дом 16А,F,POINT(37.63187 55.80869)
350,Школа № 285 имени В.А. Молодцова,Северо-Восточный,Южное Медведково,Россия. город Москва. улица Молодцова. дом 4А,F,POINT(37.64338 55.87841)
351,Школа № 956,Северо-Восточный,Южное Медведково,Россия. город Москва. Заповедная улица. дом 22,F,POINT(37.64559 55.86691)
352,Школа № 1387,Северо-Западный,Куркино,Россия. город Москва. Соколово-Мещерская улица. дом 27,F,POINT(37.38270 55.90400)
353,Школа № 1747 имени Д.М. Румянцева,Северо-Западный,Митино,Россия. город Москва. 3-й Митинский переулок. дом 12. корп. 1,F,POINT(37.35234 55.84627)
354,Школа № 830,Северо-Западный,"Покровское 
Стрешнево",Россия. город Москва. Большая Набережная улица. дом 23,F,POINT(37.45926 55.83314)
355,Школа № 883 имени М.Ф. Лукина,Северо-Западный,Северное Тушино,Россия. город Москва. Планерная улица. дом 5. корп. 2,F,POINT(37.43144 55.86044)
356,Школа № 69 имени Б.Ш. Окуджавы,Северо-Западный,Строгино,Россия. город Москва. улица Кулакова. дом 2. корп. 2,F,POINT(37.39820 55.81600)
357,Школа № 705,Северо-Западный,Строгино,Россия. город Москва. улица Кулакова. дом 12. корп. 2,F,POINT(37.39468 55.81048)
358,Школа № 1210,Северо-Западный,Щукино,Россия. город Москва. улица Гамалеи. дом 17. корп. 1,F,POINT(37.45610 55.79925)
359,Школа № 1874,Северо-Западный,Щукино,Россия. город Москва. улица Маршала Новикова. дом 13,F,POINT(37.46345 55.80333)
360,Гимназия г. Троицка,Троицкий,Троицк,Россия. город Москва. г. Троицк. Октябрьский проспект. дом 6,F,POINT(37.29378 55.47247)
361,Школа № 91,Центральный,Арбат,Россия. город Москва. Поварская улица. дом 14,F,POINT(37.59696 55.75433)
362,Школа на Яузе,Центральный,Басманный,Россия. город Москва. Большая Почтовая улица. дом 35. стр. 1,F,POINT(37.69711 55.78025)
363,Школа № 354 имени Д.М. Карбышева,Центральный,Басманный,Россия. город Москва. Лефортовский переулок. дом 10,F,POINT(37.67788 55.76935)
364,Православная Свято-Петровская школа,Центральный,Басманный,Россия. город Москва. Тетеринский переулок. дом 2А. стр. 1,F,POINT(37.64962 55.74542)
365,Пушкинская школа № 1500,Центральный,Красносельский,Россия. город Москва. Скорняжный переулок. дом 3. стр. 2,F,POINT(37.64260 55.77349)
366,Школа № 1284,Центральный,Красносельский,Россия. город Москва. Уланский переулок. дом 8,F,POINT(37.63815 55.76789)
367,Школа № 1239,Центральный,Пресненский,Россия. город Москва. Вспольный переулок. дом 6. стр. 1,F,POINT(37.58818 55.76058)
368,Школа № 1241 «На Красной Пресне»,Центральный,Пресненский,Россия. город Москва. Волков переулок. дом 11,F,POINT(37.57424 55.76355)
369,Лицей МПГУ,Центральный,Тверской,Россия. город Москва. переулок Рахмановский. дом 3. стр. 1,F,POINT(37.61844 55.76520)
370,Школа в Капотне,Юго-Восточный,Капотня,Россия. город Москва. Капотня. 5-й квартал. дом 28,F,POINT(37.79681 55.63179)
371,Школа № 641 имени Сергея Есенина,Юго-Восточный,Кузьминки,Россия. город Москва. Волгоградский проспект. дом 66. корп. 4,F,POINT(37.75695 55.70445)
372,Школа «Содружество»,Юго-Восточный,Лефортово,Россия. город Москва. Красноказарменная улица. дом 11,F,POINT(37.70101 55.75740)
373,Школа № 1228 «Лефортово»,Юго-Восточный,Лефортово,Россия. город Москва. Авиамоторная улица. дом 1,F,POINT(37.70798 55.76355)
374,Школа имени Ф.М. Достоевского,Юго-Восточный,Люблино,Россия. город Москва. улица Краснодонская. дом 2. корп. 4,F,POINT(37.75126 55.68654)
375,Школа № 460 им. А.А. Головачёва и С.Ф. Шутова,Юго-Восточный,Люблино,Россия. город Москва. Белореченская улица. дом 11,F,POINT(37.76987 55.67247)
376,Школа № 2090 им. Л.Х. Паперника,Юго-Восточный,Рязанский,Россия. город Москва. улица Паперника. дом 6. корп. 2,F,POINT(37.78945 55.71942)
377,Школа № 2129 им. П.И. Романова,Юго-Восточный,Южнопортовый,Россия. город Москва. 6-я Кожуховская улица. дом 8,F,POINT(37.67214 55.70649)
378,Школа № 45 имени Л.И. Мильграма,Юго-Западный,Академический,Россия. город Москва. улица Гримау. дом 8,F,POINT(37.57960 55.69099)
379,Школа № 1265,Юго-Западный,Гагаринский,Россия. город Москва. улица Фотиевой. дом 11,F,POINT(37.55713 55.69668)
380,Школа «Ника» (ОАНО),Юго-Западный,Зюзино,Россия. город Москва. улица Малая Юшуньская. дом 4,F,POINT(37.59502 55.65436)
381,Школа № 170 имени А.П. Чехова,Юго-Западный,Коньково,Россия. город Москва. Профсоюзная улица. дом 96Б,F,POINT(37.52805 55.64757)
382,Школа № 7,Юго-Западный,Ломоносовский,Россия. город Москва. улица Крупской. дом 12,F,POINT(37.52677 55.68507)
383,Школа № 1995,Юго-Западный,Обручевский,Россия. город Москва. улица Саморы Машела. дом 6. корп. 3,F,POINT(37.49927 55.64809)
384,Школа № 1356,Юго-Западный,Северное Бутово,Россия. город Москва. улица Профсоюзная. дом 154. корп. 2,F,POINT(37.50395 55.62184)
385,Школа № 1613,Юго-Западный,Северное Бутово,Россия. город Москва. Ратная улица. дом 6А,F,POINT(37.58783 55.57372)
386,Школа № 15,Юго-Западный,Черемушки,Россия. город Москва. улица Херсонская. дом 27А,F,POINT(37.55964 55.65224)
387,Школа № 1981,Юго-Западный,Южное Бутово,Россия. город Москва. Бартеневская улица. дом 49. корп. 4,F,POINT(37.51952 55.54489)
388,Школа им. Н.М. Карамзина,Юго-Западный,Ясенево,Россия. город Москва. проезд Карамзина. дом 13. корп. 3,F,POINT(37.54044 55.59233)
389,Школа № 1212,Юго-Западный,Ясенево,Россия. город Москва. Вильнюсская улица. дом 4,F,POINT(37.52148 55.60551)
390,Школа № 1861 «Загорье»,Южный,"Бирюлево 
Восточное",Россия. город Москва. Михневская улица. дом 8. корп. 2,F,POINT(37.67173 55.57750)
391,Школа № 902 «Диалог»,Южный,"Бирюлево 
Восточное",Россия. город Москва. Ряжская улица. дом 11,F,POINT(37.66793 55.59113)
392,Школа № 2001,Южный,Бирюлево Западное,Россия. город Москва. Харьковский проезд. дом 9Б,F,POINT(37.63960 55.59111)
393,Школа № 998,Южный,Братеево,Россия. город Москва. улица Борисовские Пруды. дом 36. корп. 2,F,POINT(37.76614 55.64010)
394,Школа № 1272,Южный,Даниловский,Россия. город Москва. 1-й Кожуховский проезд. дом 17,F,POINT(37.66377 55.70804)
395,Школа № 630 им. дважды Героя Сов. Союза Г.П. Кравченко,Южный,Донской,Россия. город Москва. Варшавское шоссе. дом 12,F,POINT(37.61889 55.69684)
396,Школа № 1450 «Олимп»,Южный,Нагорный,Россия. город Москва. Фруктовая улица. дом 9,F,POINT(37.61177 55.65865)
397,Школа № 1207,Южный,Орехово-Борисово Южное,Россия. город Москва. Домодедовская улица. дом 24. корп. 7,F,POINT(37.70937 55.60553)
398,Школа № 1466 имени Надежды Рушевой,Южный,Царицыно,Россия. город Москва. улица Бехтерева. дом 37. корп. 5,F,POINT(37.65113 55.62055)
399,Школа № 556,Южный,"Чертаново 
Центральное",Россия. город Москва. Днепропетровская улица. дом 33А,F,POINT(37.58543 55.61713)
400,Школа № 1526 на Покровской,Южный,Чертаново Южное,Россия. город Москва. Дорожная улица. дом 20А,F,POINT(37.62145 55.60248)